date,open,high,low,close,volume
19/07/1978,3.9958,4.0521,3.9958,4.0521,29716
20/07/1978,4.0522,4.086,4.0221,4.0278,45430
21/07/1978,4.0278,4.0597,4.0109,4.0597,20339
24/07/1978,4.0596,4.0709,4.0221,4.0709,26951
25/07/1978,4.071,4.101,4.0447,4.101,37560
26/07/1978,4.101,4.1573,4.101,4.1085,66095
27/07/1978,4.1085,4.1498,4.101,4.1498,37786
28/07/1978,4.1498,4.1986,4.1386,4.1855,43443
31/07/1978,4.1874,4.2287,4.1874,4.2212,33362
01/08/1978,4.2212,4.2324,4.1911,4.193,44851
02/08/1978,4.193,4.4014,4.1911,4.4014,56013
03/08/1978,4.4451,4.4754,4.3237,4.3237,66877
04/08/1978,4.3237,4.3939,4.3161,4.3768,44737
07/08/1978,4.3768,4.4072,4.3389,4.3389,58017
08/08/1978,4.3389,4.3958,4.3237,4.3958,49282
09/08/1978,4.3958,4.4489,4.3768,4.3806,78836
10/08/1978,4.3807,4.4186,4.3503,4.3617,28463
11/08/1978,4.3635,4.4109,4.3635,4.3844,21175
14/08/1978,4.3844,4.4223,4.3787,4.3787,23257
15/08/1978,4.3787,4.4223,4.3502,4.4223,20896
16/08/1978,4.4224,4.5286,4.411,4.502,54818
17/08/1978,4.502,4.5418,4.4716,4.4792,37730
18/08/1978,4.4792,4.5475,4.4527,4.4565,28107
21/08/1978,4.4565,4.4868,4.4337,4.4508,20998
22/08/1978,4.4508,4.5153,4.4451,4.4982,27447
23/08/1978,4.5058,4.5627,4.5058,4.5172,33744
24/08/1978,4.5172,4.5513,4.4982,4.5058,25492
25/08/1978,4.5058,4.5438,4.5001,4.5096,19881
28/08/1978,4.5096,4.5115,4.4679,4.4755,15336
29/08/1978,4.4754,4.4944,4.4223,4.4375,15615
30/08/1978,4.4375,4.4754,4.4375,4.4451,12365
31/08/1978,4.4451,4.4602,4.4223,4.428,11654
01/09/1978,4.43,4.4736,4.43,4.4527,16275
05/09/1978,4.4584,4.5665,4.4584,4.5665,30798
06/09/1978,4.5665,4.5968,4.5437,4.5513,39990
07/09/1978,4.5513,4.5892,4.5134,4.5399,27371
08/09/1978,4.54,4.6196,4.5324,4.6196,31738
11/09/1978,4.6025,4.6025,4.5437,4.5437,21175
12/09/1978,4.5438,4.5646,4.5324,4.5646,22242
13/09/1978,4.5646,4.5722,4.4755,4.4755,28463
14/09/1978,4.4755,4.4963,4.4432,4.4527,21328
15/09/1978,4.4527,4.4679,4.3844,4.3958,23283
18/09/1978,4.3958,4.428,4.3616,4.3844,41767
19/09/1978,4.3844,4.4186,4.3465,4.3465,20261
20/09/1978,4.3465,4.3769,4.2859,4.3162,25467
21/09/1978,4.3162,4.3352,4.2555,4.3086,28310
22/09/1978,4.3086,4.3162,4.3086,4.3086,24806
25/09/1978,4.2479,4.2707,4.21,4.2555,28386
26/09/1978,4.2555,4.2858,4.2422,4.2631,21633
27/09/1978,4.263,4.2782,4.1644,4.172,21734
28/09/1978,4.1721,4.2328,4.1493,4.2024,24629
29/09/1978,4.2024,4.2252,4.191,4.2024,23080
02/10/1978,4.2024,4.2555,4.2005,4.2555,18713
03/10/1978,4.2555,4.2707,4.1948,4.1967,23918
04/10/1978,4.1966,4.2782,4.172,4.2782,32017
05/10/1978,4.2782,4.2782,4.2194,4.2327,31687
06/10/1978,4.2327,4.2706,4.2289,4.2289,16453
09/10/1978,4.2365,4.2934,4.2365,4.2934,21277
10/10/1978,4.2934,4.3009,4.2554,4.2668,19220
11/10/1978,4.2669,4.4072,4.2555,4.4072,23004
12/10/1978,4.4072,4.4527,4.3275,4.3541,62028
13/10/1978,4.3541,4.3768,4.3199,4.3389,27244
16/10/1978,4.3389,4.3389,4.2327,4.2327,23232
17/10/1978,4.2327,4.2441,4.1758,4.2327,44687
18/10/1978,4.2327,4.2441,4.2024,4.2441,36511
19/10/1978,4.2441,4.2593,4.1872,4.1872,31687
20/10/1978,4.1872,4.21,4.1512,4.2043,46464
23/10/1978,4.2042,4.2251,4.1568,4.2175,36511
24/10/1978,4.2175,4.2213,4.172,4.172,27167
25/10/1978,4.172,4.21,4.1341,4.1531,35826
26/10/1978,4.1531,4.1739,4.1113,4.136,24756
27/10/1978,4.136,4.155,4.081,4.0886,37679
30/10/1978,4.0886,4.1417,4.0431,4.1417,48089
31/10/1978,3.9975,4.1341,3.9975,4.0089,49206
01/11/1978,4.0685,4.2411,4.0685,4.2353,57270
02/11/1978,4.1835,4.1835,4.1106,4.1317,57193
03/11/1978,4.1317,4.1643,4.0991,4.1183,46360
06/11/1978,4.1145,4.1145,4.0493,4.0512,22487
07/11/1978,4.0378,4.0378,3.9783,4.0224,39069
08/11/1978,4.0224,4.0799,3.9975,4.078,33473
09/11/1978,4.078,4.0914,4.0301,4.0454,32909
10/11/1978,4.0454,4.0722,4.0377,4.0435,16685
13/11/1978,4.0436,4.057,3.9822,3.9841,23026
14/11/1978,3.984,3.9936,3.9265,3.9879,31112
15/11/1978,3.9879,4.0224,3.9573,3.9649,32318
16/11/1978,3.9765,4.0071,3.9765,4.0033,24079
17/11/1978,4.0033,4.0225,4.0033,4.0033,23925
20/11/1978,4.0071,4.0569,4.0071,4.0454,23668
21/11/1978,4.0454,4.0685,4.0244,4.0493,30368
22/11/1978,4.0492,4.1106,4.0492,4.1106,19432
24/11/1978,4.149,4.149,4.0914,4.1317,22025
27/11/1978,4.1317,4.1682,4.1145,4.1605,17841
28/11/1978,4.1605,4.172,4.103,4.1087,35681
29/11/1978,4.103,4.103,4.0608,4.0723,25413
30/11/1978,4.0722,4.1413,4.0646,4.1336,23488
01/12/1978,4.1509,4.2104,4.1509,4.1931,37145
04/12/1978,4.193,4.2122,4.1681,4.1988,22307
05/12/1978,4.2084,4.2698,4.2084,4.2621,34270
06/12/1978,4.2621,4.287,4.2333,4.264,34988
07/12/1978,4.264,4.2678,4.2179,4.2333,24335
08/12/1978,4.2334,4.241,4.1989,4.2065,14324
11/12/1978,4.2103,4.2755,4.2103,4.264,24155
12/12/1978,4.264,4.2716,4.2256,4.2333,22666
13/12/1978,4.2334,4.241,4.2046,4.2065,19792
14/12/1978,4.2065,4.218,4.1873,4.2065,26491
15/12/1978,4.2065,4.2238,4.172,4.2238,20921
18/12/1978,4.17,4.17,4.1317,4.1432,27544
19/12/1978,4.1471,4.3446,4.1471,4.3388,51776
20/12/1978,4.3388,4.379,4.3158,4.3618,67615
21/12/1978,4.3618,4.3695,4.3253,4.3522,35630
22/12/1978,4.3714,4.5248,4.3714,4.5248,51751
26/12/1978,4.5286,4.7549,4.5286,4.7472,82914
27/12/1978,4.7012,4.7012,4.6091,4.6398,58528
28/12/1978,4.6398,4.7242,4.6398,4.6628,46899
29/12/1978,4.6628,4.7011,4.5707,4.5784,33935
02/01/1979,4.5784,4.6781,4.517,4.6551,42868
03/01/1979,4.6704,4.7356,4.6704,4.7011,46847
04/01/1979,4.7011,4.7395,4.6627,4.6781,52238
05/01/1979,4.6801,4.7089,4.6801,4.6935,27801
08/01/1979,4.6897,4.6897,4.6398,4.6705,31780
09/01/1979,4.6935,4.7299,4.6935,4.6935,28879
10/01/1979,4.6935,4.7165,4.6762,4.6839,19997
11/01/1979,4.6838,4.7854,4.6742,4.7778,43433
12/01/1979,4.7778,4.8142,4.7663,4.797,63225
15/01/1979,4.797,4.8507,4.7893,4.8392,55447
16/01/1979,4.8258,4.8258,4.7357,4.7491,39814
17/01/1979,4.7491,4.7855,4.7012,4.7587,32627
18/01/1979,4.7587,4.7855,4.7395,4.7702,21537
19/01/1979,4.7663,4.7663,4.6934,4.7011,30958
22/01/1979,4.7011,4.7854,4.6819,4.7778,43176
23/01/1979,4.7779,4.8009,4.7548,4.774,31317
24/01/1979,4.774,4.774,4.7203,4.7318,29597
25/01/1979,4.7433,4.7855,4.7433,4.7855,24541
26/01/1979,4.7854,4.8085,4.7701,4.8008,28237
29/01/1979,4.8009,4.8047,4.7664,4.774,22256
30/01/1979,4.7759,4.8239,4.7759,4.7855,26106
31/01/1979,4.7855,4.7932,4.7338,4.7357,25413
01/02/1979,4.7357,4.7702,4.7261,4.7702,24874
